The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,N,Y,F
The Just City,Jo Walton,Y,N,F
Soy Sauce For Beginners,Kirstin Chen,Y,y,F
That Thing Around Your Neck,Chimamanda Ngozi Adichie,Y,y,F
The Silo Effect,Gillian Tett,Y,n,N
Primates of Park Avenue: A Memoir,Wednesday Martin,Y,N,N
Can’t and Won’t,Lydia Davis,Y,N,F
On Booze,F. Scott Fitzgerald,N,N,F
H is for Hawk,Helen Macdonald,Y,N,N
Prelude to Bruise,Saeed Jones,N,Y,N
The Real World of Technology,Ursula M. Franklin,Y,N,N
The Mahabharata,C. Rajagoplachari,Y,Y,Y
Anandmath,Bankim Chandra Chatterji,N,Y,F
Godan,Munshi Premchand,N,Y,F
Twilight in Delhi,Ahmed Ali,N,Y,F
Aag ka Dariya,Qurratulain Hyder,N,Y,F
